date,item_id,item_type,item_name,unit_cost,min_required,max_capacity,current_stock,avg_usage_per_day,restock_lead_time,vendor_id
2022-01-13,202,Consumable,Surgical Mask,7,4097,21524,9702,2182,8,V002
2022-01-15,101,Equipment,X-Ray-Machine,4612827,2,15,5,1,39,V005
2022-01-15,103,Equipment,Wheelchair,6566,19,95,94,5,13,V001
2022-01-15,101,Equipment,X-Ray-Machine,4180254,3,17,4,0,43,V002
2022-01-15,200,Consumable,Gloves,6,1570,5978,2849,300,11,V005
2022-01-15,201,Consumable,IV Drip,245,617,4314,2862,78,8,V003
2022-01-16,100,Equipment,Ventilator,3142549,6,50,13,5,19,V002
2022-01-16,205,Consumable,Syringe,23,4019,16313,12697,584,11,V002
2022-01-16,200,Consumable,Gloves,7,1149,7335,2011,740,8,V004
2022-01-17,106,Equipment,MRI Scanner,30163463,1,5,2,0,60,V002
2022-01-19,103,Equipment,Wheelchair,6566,12,43,35,2,9,V001
2022-01-19,103,Equipment,Wheelchair,15622,12,94,27,3,18,V004
2022-01-20,208,Consumable,Antiseptic Solution,631,1117,4451,3581,425,11,V001
2022-01-20,209,Consumable,Cotton Rolls,123,880,4186,2743,139,4,V001
2022-01-20,205,Consumable,Syringe,23,3374,17586,14735,411,11,V005
2022-01-20,100,Equipment,Ventilator,2232401,13,26,13,4,20,V005
2022-01-21,105,Equipment,ECG Machine,230753,3,15,15,2,21,V004
2022-01-21,209,Consumable,Cotton Rolls,123,697,5085,2054,251,6,V001
2022-01-21,208,Consumable,Antiseptic Solution,631,936,7785,4437,219,8,V001
2022-01-22,105,Equipment,ECG Machine,313120,2,15,11,1,18,V005
2022-01-22,207,Consumable,Blood Bags,507,750,2702,2021,72,8,V005
2022-01-22,208,Consumable,Antiseptic Solution,631,856,6642,4404,467,8,V001
2022-01-22,104,Equipment,Hospital Bed,31063,29,159,154,0,17,V002
2022-01-22,201,Consumable,IV Drip,237,947,3087,1929,180,5,V004
2022-01-23,204,Consumable,Face Shield,52,1699,4343,4147,764,7,V002
2022-01-23,207,Consumable,Blood Bags,795,417,2174,1201,23,13,V003
2022-01-23,209,Consumable,Cotton Rolls,123,341,3712,2157,226,8,V001
2022-01-24,101,Equipment,X-Ray-Machine,4180254,3,11,10,1,27,V002
2022-01-24,201,Consumable,IV Drip,237,900,2057,1190,151,10,V004
2022-01-24,203,Consumable,Gown,196,1690,3138,2073,253,6,V001
2022-01-24,101,Equipment,X-Ray-Machine,4180254,1,17,17,0,33,V002
2022-01-25,205,Consumable,Syringe,24,2515,16653,14922,1187,10,V004
2022-01-25,105,Equipment,ECG Machine,313120,5,13,8,1,24,V005
2022-01-26,205,Consumable,Syringe,23,3192,18846,10477,1962,5,V002
2022-01-27,206,Consumable,Bandages,29,3591,7910,6909,886,6,V001
2022-01-27,202,Consumable,Surgical Mask,5,3141,33791,27376,963,10,V005
2022-01-27,207,Consumable,Blood Bags,762,390,3320,2385,109,13,V001
2022-01-27,200,Consumable,Gloves,7,1943,5720,3345,560,6,V004
2022-01-27,208,Consumable,Antiseptic Solution,378,1500,6513,3995,314,9,V004
2022-01-27,207,Consumable,Blood Bags,843,570,4281,1396,45,15,V004
2022-01-28,205,Consumable,Syringe,21,2709,9282,3213,1122,6,V001
2022-01-28,103,Equipment,Wheelchair,9908,6,86,37,2,10,V003
2022-01-28,105,Equipment,ECG Machine,256587,4,13,7,0,18,V001
2022-01-28,102,Equipment,Defibrilator,704572,3,13,12,0,25,V005
2022-01-29,106,Equipment,MRI Scanner,30163463,1,4,2,0,42,V002
2022-01-30,204,Consumable,Face Shield,52,1046,9608,5030,170,8,V002
2022-01-30,104,Equipment,Hospital Bed,28362,49,271,152,1,27,V001
2022-01-30,201,Consumable,IV Drip,246,383,3152,2854,136,8,V005
2022-01-31,204,Consumable,Face Shield,82,813,6409,3576,598,5,V005
2022-01-31,202,Consumable,Surgical Mask,3,9290,36170,9961,1907,7,V004
2022-01-31,200,Consumable,Gloves,9,2356,7298,3166,310,12,V002
2022-01-31,101,Equipment,X-Ray-Machine,3627022,5,20,17,1,30,V004
2022-02-01,200,Consumable,Gloves,9,1262,8974,6777,636,12,V003
2022-02-01,209,Consumable,Cotton Rolls,85,377,5945,1548,61,4,V003
2022-02-02,202,Consumable,Surgical Mask,7,9306,45847,26653,1827,5,V002
2022-02-02,104,Equipment,Hospital Bed,51423,36,252,83,2,24,V005
2022-02-02,104,Equipment,Hospital Bed,28362,64,250,196,3,28,V001
2022-02-02,204,Consumable,Face Shield,74,845,7587,5873,545,8,V003
2022-02-02,107,Equipment,Infusion Pump,125406,10,15,15,10,18,V004
2022-02-02,101,Equipment,X-Ray-Machine,4612827,2,11,11,0,43,V005
2022-02-02,207,Consumable,Blood Bags,762,865,3915,2300,147,15,V001
2022-02-03,208,Consumable,Antiseptic Solution,319,1571,5909,5377,263,10,V002
2022-02-03,201,Consumable,IV Drip,246,777,2739,2528,130,10,V005
2022-02-03,206,Consumable,Bandages,39,2486,11378,7344,1105,3,V004
2022-02-03,206,Consumable,Bandages,39,3679,6891,5606,525,3,V004
2022-02-03,200,Consumable,Gloves,7,2210,9058,3185,491,6,V004
2022-02-03,102,Equipment,Defibrilator,704572,4,14,14,0,20,V005
2022-02-04,100,Equipment,Ventilator,2900485,14,42,30,2,23,V003
2022-02-04,208,Consumable,Antiseptic Solution,349,819,3059,1543,143,9,V005
2022-02-04,201,Consumable,IV Drip,270,486,4989,2758,158,7,V001
2022-02-05,209,Consumable,Cotton Rolls,123,597,3023,1862,270,9,V001
2022-02-05,105,Equipment,ECG Machine,313120,5,12,12,1,23,V005
2022-02-05,102,Equipment,Defibrilator,383361,1,13,6,1,24,V004
2022-02-06,208,Consumable,Antiseptic Solution,378,954,7494,4291,129,10,V004
2022-02-07,206,Consumable,Bandages,41,3783,7632,4625,621,5,V002
2022-02-07,102,Equipment,Defibrilator,384358,4,13,11,0,22,V003
2022-02-08,207,Consumable,Blood Bags,762,633,2173,1787,67,12,V001
2022-02-08,105,Equipment,ECG Machine,256587,3,15,3,2,27,V001
2022-02-09,208,Consumable,Antiseptic Solution,631,611,6231,856,326,8,V001
2022-02-09,202,Consumable,Surgical Mask,7,9613,23266,17802,509,5,V003
2022-02-09,207,Consumable,Blood Bags,507,674,3438,2251,149,15,V005
2022-02-09,102,Equipment,Defibrilator,704572,4,14,9,0,24,V005
2022-02-09,100,Equipment,Ventilator,1879046,9,50,36,1,18,V004
2022-02-09,201,Consumable,IV Drip,246,313,2178,1879,57,9,V005
2022-02-10,101,Equipment,X-Ray-Machine,2798274,5,16,13,0,24,V001
2022-02-10,101,Equipment,X-Ray-Machine,3627022,3,11,11,1,21,V004
2022-02-10,209,Consumable,Cotton Rolls,85,568,3999,901,113,5,V003
2022-02-10,203,Consumable,Gown,117,1795,3973,3535,381,12,V002
2022-02-10,202,Consumable,Surgical Mask,7,9809,32824,22188,1788,8,V002
2022-02-11,106,Equipment,MRI Scanner,33213797,2,4,3,1,53,V005
2022-02-11,209,Consumable,Cotton Rolls,76,980,5652,1203,238,4,V004
2022-02-11,204,Consumable,Face Shield,103,692,7210,3663,544,6,V001
2022-02-11,103,Equipment,Wheelchair,6566,18,72,62,2,15,V001
2022-02-11,101,Equipment,X-Ray-Machine,2798274,3,10,8,1,30,V001
2022-02-12,208,Consumable,Antiseptic Solution,505,1973,5067,4960,275,7,V003
2022-02-12,207,Consumable,Blood Bags,1054,827,3993,2406,120,7,V002
2022-02-12,101,Equipment,X-Ray-Machine,3863821,3,17,8,0,36,V003
2022-02-12,105,Equipment,ECG Machine,230753,2,15,15,0,18,V004
2022-02-13,207,Consumable,Blood Bags,795,354,2022,672,23,8,V003
2022-02-13,202,Consumable,Surgical Mask,7,5637,49289,26694,1666,8,V002
2022-02-13,100,Equipment,Ventilator,3142549,5,33,22,2,24,V002
2022-02-14,208,Consumable,Antiseptic Solution,505,1328,4662,3055,393,5,V003
2022-02-15,205,Consumable,Syringe,23,2432,17272,9936,242,5,V005
2022-02-15,102,Equipment,Defibrilator,689894,1,9,8,1,22,V002
2022-02-15,104,Equipment,Hospital Bed,28362,33,200,125,0,26,V001
2022-02-15,209,Consumable,Cotton Rolls,85,581,3422,2281,275,7,V003
2022-02-16,106,Equipment,MRI Scanner,29074330,2,5,3,1,38,V001
2022-02-16,207,Consumable,Blood Bags,843,500,3671,1412,119,14,V004
2022-02-16,101,Equipment,X-Ray-Machine,3627022,1,14,11,0,35,V004
2022-02-17,203,Consumable,Gown,117,1456,7558,4914,409,9,V002
2022-02-17,103,Equipment,Wheelchair,15809,13,92,34,5,15,V002
2022-02-17,102,Equipment,Defibrilator,704572,4,13,11,1,40,V005
2022-02-17,207,Consumable,Blood Bags,1054,454,2997,1570,47,7,V002
2022-02-17,107,Equipment,Infusion Pump,125406,6,25,22,7,13,V004
2022-02-18,200,Consumable,Gloves,9,2930,7908,7655,385,5,V003
2022-02-18,202,Consumable,Surgical Mask,4,6598,35295,32338,2238,6,V001
2022-02-18,204,Consumable,Face Shield,74,738,6622,2490,152,7,V003
2022-02-18,202,Consumable,Surgical Mask,5,7350,39521,34953,928,9,V005
2022-02-18,203,Consumable,Gown,237,538,4260,2691,336,11,V003
2022-02-19,102,Equipment,Defibrilator,383361,2,13,11,0,36,V004
2022-02-19,102,Equipment,Defibrilator,383361,1,15,8,1,25,V004
2022-02-19,202,Consumable,Surgical Mask,5,7008,24169,23265,2893,9,V005
2022-02-19,206,Consumable,Bandages,42,2125,10991,3508,672,4,V003
2022-02-20,102,Equipment,Defibrilator,445991,3,11,7,0,34,V001
2022-02-20,100,Equipment,Ventilator,1879046,5,32,24,3,27,V004
2022-02-20,203,Consumable,Gown,117,1573,7995,4498,463,12,V002
2022-02-21,206,Consumable,Bandages,42,3481,7341,7027,301,6,V003
2022-02-21,206,Consumable,Bandages,41,1893,6162,2371,687,9,V002
2022-02-21,208,Consumable,Antiseptic Solution,349,1798,6537,3689,253,8,V005
2022-02-21,200,Consumable,Gloves,7,1428,8286,3464,787,11,V004
2022-02-22,202,Consumable,Surgical Mask,4,6458,19863,18609,1089,8,V001
2022-02-22,107,Equipment,Infusion Pump,212601,10,30,27,9,15,V002
2022-02-22,201,Consumable,IV Drip,246,676,3727,2725,92,5,V005
2022-02-22,201,Consumable,IV Drip,237,536,4766,3341,126,6,V004
2022-02-22,101,Equipment,X-Ray-Machine,4612827,4,18,7,1,21,V005
2022-02-22,203,Consumable,Gown,196,1633,6165,4010,255,6,V001
2022-02-23,204,Consumable,Face Shield,52,518,6826,5077,289,4,V002
2022-02-23,104,Equipment,Hospital Bed,27689,88,166,106,1,24,V003
2022-02-23,103,Equipment,Wheelchair,15809,5,85,7,1,19,V002
2022-02-23,106,Equipment,MRI Scanner,32971025,1,5,5,0,41,V004
2022-02-23,107,Equipment,Infusion Pump,125406,3,15,14,11,11,V004
2022-02-24,102,Equipment,Defibrilator,383361,5,13,7,1,27,V004
2022-02-24,107,Equipment,Infusion Pump,206804,5,25,19,11,18,V005
2022-02-24,207,Consumable,Blood Bags,1054,804,1891,827,20,6,V002
2022-02-25,100,Equipment,Ventilator,1879046,9,30,22,5,28,V004
2022-02-25,206,Consumable,Bandages,42,2424,11412,7452,1373,6,V003
2022-02-25,104,Equipment,Hospital Bed,31063,94,178,163,1,23,V002
2022-02-25,104,Equipment,Hospital Bed,16130,93,157,118,2,29,V004
2022-02-26,106,Equipment,MRI Scanner,32971025,2,4,3,1,57,V004
2022-02-26,105,Equipment,ECG Machine,366194,5,10,9,3,25,V003
2022-02-26,101,Equipment,X-Ray-Machine,2798274,2,17,8,0,25,V001
2022-02-27,200,Consumable,Gloves,9,2784,7787,5332,329,7,V002
2022-02-27,107,Equipment,Infusion Pump,125406,10,17,11,14,12,V004
2022-02-28,209,Consumable,Cotton Rolls,76,772,3601,3030,116,5,V004
2022-02-28,104,Equipment,Hospital Bed,31063,98,289,173,2,28,V002
2022-03-01,102,Equipment,Defibrilator,384358,4,10,5,1,31,V003
2022-03-01,104,Equipment,Hospital Bed,31063,57,162,158,0,16,V002
2022-03-01,103,Equipment,Wheelchair,15622,10,64,30,2,15,V004
2022-03-01,105,Equipment,ECG Machine,366194,3,13,7,2,19,V003
2022-03-01,208,Consumable,Antiseptic Solution,631,1082,6984,2322,147,12,V001
2022-03-02,206,Consumable,Bandages,39,3192,9514,6593,470,8,V004
2022-03-02,205,Consumable,Syringe,21,4485,8396,5807,475,7,V001
2022-03-02,100,Equipment,Ventilator,2232401,4,50,46,3,19,V005
2022-03-02,104,Equipment,Hospital Bed,31063,33,158,88,2,30,V002
2022-03-02,102,Equipment,Defibrilator,445991,5,13,13,1,33,V001
2022-03-03,100,Equipment,Ventilator,1879046,4,34,9,3,15,V004
2022-03-03,203,Consumable,Gown,117,1770,7292,2120,396,9,V002
2022-03-04,104,Equipment,Hospital Bed,31063,32,194,42,3,28,V002
2022-03-04,204,Consumable,Face Shield,82,513,7994,1646,109,5,V005
2022-03-04,203,Consumable,Gown,117,1789,5403,3565,355,5,V002
2022-03-04,102,Equipment,Defibrilator,383361,3,8,8,0,37,V004
2022-03-05,209,Consumable,Cotton Rolls,58,767,5833,5665,103,7,V005
2022-03-05,107,Equipment,Infusion Pump,206804,7,15,7,9,14,V005
2022-03-05,200,Consumable,Gloves,7,1503,8624,5304,476,10,V004
2022-03-06,105,Equipment,ECG Machine,367841,3,10,10,2,19,V002
2022-03-06,207,Consumable,Blood Bags,507,884,3451,3427,65,10,V005
2022-03-06,102,Equipment,Defibrilator,445991,2,9,2,1,39,V001
2022-03-06,209,Consumable,Cotton Rolls,85,761,5876,4406,164,5,V003
2022-03-06,100,Equipment,Ventilator,1879046,9,37,27,2,20,V004
2022-03-07,206,Consumable,Bandages,41,1273,6365,6256,1456,4,V002
2022-03-07,103,Equipment,Wheelchair,15809,7,70,55,1,19,V002
2022-03-08,207,Consumable,Blood Bags,843,922,4838,2717,128,8,V004
2022-03-08,100,Equipment,Ventilator,1999337,8,30,9,3,17,V001
2022-03-08,103,Equipment,Wheelchair,9908,5,49,14,0,7,V003
2022-03-09,103,Equipment,Wheelchair,9908,7,88,48,1,16,V003
2022-03-09,101,Equipment,X-Ray-Machine,2798274,5,15,9,1,28,V001
2022-03-09,208,Consumable,Antiseptic Solution,378,606,6612,3034,264,6,V004
2022-03-09,205,Consumable,Syringe,23,1864,9214,8619,612,9,V005
2022-03-10,107,Equipment,Infusion Pump,206804,3,24,6,8,15,V005
2022-03-10,106,Equipment,MRI Scanner,31100685,1,5,5,0,52,V003
2022-03-10,205,Consumable,Syringe,21,3894,17874,9173,1400,8,V001
2022-03-10,207,Consumable,Blood Bags,795,687,3154,2948,59,12,V003
2022-03-11,103,Equipment,Wheelchair,6566,13,69,15,3,7,V001
2022-03-11,204,Consumable,Face Shield,74,767,9259,4622,312,3,V003
2022-03-13,203,Consumable,Gown,117,514,4963,3761,197,8,V002
2022-03-13,104,Equipment,Hospital Bed,28362,31,292,213,1,30,V001
2022-03-13,206,Consumable,Bandages,41,1176,10264,7875,340,7,V002
2022-03-13,105,Equipment,ECG Machine,366194,3,15,9,3,26,V003
2022-03-13,202,Consumable,Surgical Mask,7,3607,31947,16870,1779,8,V002
2022-03-14,202,Consumable,Surgical Mask,4,3010,16383,14398,2845,9,V001
2022-03-14,206,Consumable,Bandages,29,1746,7281,2185,506,9,V001
2022-03-14,101,Equipment,X-Ray-Machine,4612827,2,11,8,0,37,V005
2022-03-15,105,Equipment,ECG Machine,367841,3,12,8,3,21,V002
2022-03-15,202,Consumable,Surgical Mask,7,3069,15470,13333,941,6,V003
2022-03-16,205,Consumable,Syringe,21,3440,17757,12383,1571,5,V001
2022-03-16,204,Consumable,Face Shield,52,887,5783,4354,413,5,V002
2022-03-16,201,Consumable,IV Drip,237,593,2353,2147,117,6,V004
2022-03-16,107,Equipment,Infusion Pump,212601,4,29,25,11,15,V002
2022-03-16,203,Consumable,Gown,196,1329,4463,4340,258,11,V001
2022-03-18,105,Equipment,ECG Machine,256587,5,13,10,0,25,V001
2022-03-18,106,Equipment,MRI Scanner,32971025,1,4,2,1,54,V004
2022-03-18,105,Equipment,ECG Machine,367841,3,14,14,3,22,V002
2022-03-19,201,Consumable,IV Drip,270,595,4577,3347,171,8,V001
2022-03-19,106,Equipment,MRI Scanner,29074330,2,4,4,1,30,V001
2022-03-19,201,Consumable,IV Drip,246,898,2618,1827,197,10,V005
2022-03-19,208,Consumable,Antiseptic Solution,378,533,4749,3529,270,5,V004
2022-03-20,208,Consumable,Antiseptic Solution,505,580,6903,6050,324,5,V003
2022-03-20,101,Equipment,X-Ray-Machine,2798274,5,15,10,0,36,V001
2022-03-20,203,Consumable,Gown,117,691,5223,4321,482,10,V002
2022-03-21,200,Consumable,Gloves,9,1758,9987,2082,200,11,V003
2022-03-21,201,Consumable,IV Drip,237,543,3529,1222,68,6,V004
2022-03-21,103,Equipment,Wheelchair,9908,12,79,25,3,9,V003
2022-03-22,206,Consumable,Bandages,39,3421,11121,10061,1114,5,V004
2022-03-22,208,Consumable,Antiseptic Solution,505,1425,7006,3612,112,6,V003
2022-03-22,104,Equipment,Hospital Bed,51423,46,229,76,2,17,V005
2022-03-23,103,Equipment,Wheelchair,15622,17,79,37,3,14,V004
2022-03-23,104,Equipment,Hospital Bed,51423,42,255,134,2,28,V005
2022-03-23,202,Consumable,Surgical Mask,7,9206,39567,20064,1591,8,V002
2022-03-23,203,Consumable,Gown,117,743,4709,2503,144,6,V002
2022-03-23,202,Consumable,Surgical Mask,4,4197,42982,25120,1728,6,V001
2022-03-23,208,Consumable,Antiseptic Solution,505,539,7658,2727,490,5,V003
2022-03-24,102,Equipment,Defibrilator,704572,5,9,9,0,25,V005
2022-03-24,103,Equipment,Wheelchair,6566,13,73,71,5,20,V001
2022-03-24,204,Consumable,Face Shield,82,1899,7129,2772,151,6,V005
2022-03-24,104,Equipment,Hospital Bed,27689,63,268,146,3,24,V003
2022-03-25,205,Consumable,Syringe,21,2577,13856,12023,1451,11,V001
2022-03-26,200,Consumable,Gloves,6,2868,6606,5002,914,5,V005
2022-03-27,104,Equipment,Hospital Bed,31063,52,241,210,1,15,V002
2022-03-27,207,Consumable,Blood Bags,762,917,4263,3673,21,11,V001
2022-03-27,101,Equipment,X-Ray-Machine,2798274,2,12,6,0,39,V001
2022-03-28,107,Equipment,Infusion Pump,125406,5,16,14,14,10,V004
2022-03-28,209,Consumable,Cotton Rolls,123,697,2821,1877,102,9,V001
2022-03-28,100,Equipment,Ventilator,1879046,11,27,15,2,28,V004
2022-03-28,201,Consumable,IV Drip,237,1000,4964,1943,134,8,V004
2022-03-29,204,Consumable,Face Shield,52,1891,5069,2154,685,8,V002
2022-03-30,206,Consumable,Bandages,41,3033,8973,8649,1226,4,V002
2022-03-31,206,Consumable,Bandages,41,1446,6367,4516,746,3,V002
2022-03-31,106,Equipment,MRI Scanner,32971025,1,5,1,1,34,V004
2022-03-31,203,Consumable,Gown,237,1536,6548,6396,297,9,V003
2022-03-31,209,Consumable,Cotton Rolls,85,473,3195,3074,211,7,V003
2022-03-31,105,Equipment,ECG Machine,256587,2,10,4,3,20,V001
2022-03-31,207,Consumable,Blood Bags,1054,529,2324,1380,73,8,V002
2022-03-31,101,Equipment,X-Ray-Machine,2798274,5,18,14,0,24,V001
2022-04-01,204,Consumable,Face Shield,82,1924,5401,4530,277,3,V005
2022-04-01,103,Equipment,Wheelchair,6566,7,67,58,3,20,V001
2022-04-02,205,Consumable,Syringe,24,2222,19749,7641,1521,11,V004
2022-04-02,208,Consumable,Antiseptic Solution,349,1056,6243,6048,399,5,V005
2022-04-02,101,Equipment,X-Ray-Machine,4180254,5,19,16,1,22,V002
2022-04-02,107,Equipment,Infusion Pump,176921,3,28,7,6,18,V001
2022-04-03,102,Equipment,Defibrilator,689894,1,13,9,0,23,V002
2022-04-03,207,Consumable,Blood Bags,1054,940,3848,3410,103,14,V002
2022-04-03,201,Consumable,IV Drip,245,798,4821,3608,142,10,V003
2022-04-03,103,Equipment,Wheelchair,15622,19,61,52,4,10,V004
2022-04-03,103,Equipment,Wheelchair,13926,10,77,35,3,12,V005
2022-04-03,204,Consumable,Face Shield,52,540,4199,2800,318,4,V002
2022-04-04,205,Consumable,Syringe,23,4383,11461,6268,1779,8,V002
2022-04-04,104,Equipment,Hospital Bed,51423,38,178,133,3,27,V005
2022-04-05,205,Consumable,Syringe,21,3112,14451,3344,632,9,V001
2022-04-05,105,Equipment,ECG Machine,366194,5,11,11,1,17,V003
2022-04-05,204,Consumable,Face Shield,82,770,5860,1011,499,4,V005
2022-04-06,106,Equipment,MRI Scanner,32971025,1,3,3,1,51,V004
2022-04-06,200,Consumable,Gloves,6,1652,6379,2676,987,10,V005
2022-04-06,101,Equipment,X-Ray-Machine,2798274,2,19,18,0,43,V001
2022-04-06,203,Consumable,Gown,102,1994,5907,2039,485,12,V005
2022-04-06,101,Equipment,X-Ray-Machine,3863821,4,19,15,1,33,V003
2022-04-07,105,Equipment,ECG Machine,230753,3,15,11,1,29,V004
2022-04-07,106,Equipment,MRI Scanner,31100685,1,2,1,0,39,V003
2022-04-07,204,Consumable,Face Shield,52,1274,7426,3171,687,5,V002
2022-04-07,107,Equipment,Infusion Pump,176921,3,21,7,14,17,V001
2022-04-07,101,Equipment,X-Ray-Machine,4612827,2,11,4,1,38,V005
2022-04-08,202,Consumable,Surgical Mask,3,9244,19569,10813,2554,7,V004
2022-04-08,201,Consumable,IV Drip,246,426,3894,1868,114,10,V005
2022-04-08,105,Equipment,ECG Machine,367841,2,12,2,2,17,V002
2022-04-09,209,Consumable,Cotton Rolls,85,303,5356,3897,256,5,V003
2022-04-10,204,Consumable,Face Shield,82,1628,5586,2123,457,8,V005
2022-04-10,101,Equipment,X-Ray-Machine,4180254,2,11,10,1,42,V002
2022-04-10,201,Consumable,IV Drip,248,930,3057,2945,187,5,V002
2022-04-10,103,Equipment,Wheelchair,15622,18,48,22,0,15,V004
2022-04-11,202,Consumable,Surgical Mask,3,5401,48854,29674,1283,9,V004
2022-04-11,206,Consumable,Bandages,41,1559,7561,3220,1101,9,V002
2022-04-11,104,Equipment,Hospital Bed,16130,68,247,181,2,28,V004
2022-04-11,106,Equipment,MRI Scanner,31100685,1,5,1,0,56,V003
2022-04-12,201,Consumable,IV Drip,248,506,3041,2894,126,6,V002
2022-04-12,102,Equipment,Defibrilator,383361,1,13,9,0,28,V004
2022-04-12,100,Equipment,Ventilator,1999337,7,49,11,4,15,V001
2022-04-12,101,Equipment,X-Ray-Machine,3627022,1,13,3,0,44,V004
2022-04-12,100,Equipment,Ventilator,1999337,12,29,28,2,26,V001
2022-04-12,200,Consumable,Gloves,5,2657,9955,7510,785,7,V001
2022-04-13,107,Equipment,Infusion Pump,176921,9,24,18,6,12,V001
2022-04-13,100,Equipment,Ventilator,2232401,11,41,31,4,17,V005
2022-04-13,204,Consumable,Face Shield,103,1429,6164,1507,361,3,V001
2022-04-13,209,Consumable,Cotton Rolls,54,503,4351,1457,136,9,V002
2022-04-14,203,Consumable,Gown,237,1749,7899,4428,127,6,V003
2022-04-14,207,Consumable,Blood Bags,507,408,3210,2346,52,15,V005
2022-04-14,208,Consumable,Antiseptic Solution,349,1077,5103,1265,142,6,V005
2022-04-14,106,Equipment,MRI Scanner,29074330,2,2,2,0,51,V001
2022-04-14,106,Equipment,MRI Scanner,32971025,1,4,2,0,55,V004
2022-04-15,107,Equipment,Infusion Pump,206804,8,20,15,14,20,V005
2022-04-15,106,Equipment,MRI Scanner,29074330,2,2,2,1,52,V001
2022-04-15,205,Consumable,Syringe,24,1981,19018,18239,402,11,V004
2022-04-15,205,Consumable,Syringe,21,3655,16205,13600,1528,7,V001
2022-04-15,206,Consumable,Bandages,29,2989,8759,4613,569,5,V001
2022-04-15,102,Equipment,Defibrilator,445991,4,13,8,1,32,V001
2022-04-16,104,Equipment,Hospital Bed,28362,89,275,96,0,27,V001
2022-04-16,104,Equipment,Hospital Bed,28362,81,212,181,2,21,V001
2022-04-17,101,Equipment,X-Ray-Machine,2798274,1,13,2,1,38,V001
2022-04-18,205,Consumable,Syringe,21,3686,19611,10394,1905,11,V001
